Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
"When disclosing shocking news, do so with full awareness",General,Neutral,Reflective,General,Anytime Wisdom,56,4.2,"Some news never make it to the public on the basis of hearsay, this with good cause; It is awareness of the appreciation of the tiniest things in one that builds kinship; To be fully apprised awareness of key media sources is needed","For I heard the defaming of many, fear on every side. Report, say they, and we will report it. All my familiars watched for my halting, saying, Peradventure he will be enticed, and we shall prevail against him, and we shall take our revenge on him.",Jeremiah 20:10
The simplest of minerals can show great beauty when sculpted right,General,Neutral,Reflective,General,Anytime Wisdom,66,5.0,"Do the right thing not for deity alone but because it is right; Great nations are inspired by beauty in whatever country; All forms of government work, but to the right people",And the gold of that land is good: there is bdellium and the onyx stone.,Genesis 2:12
Everyone has problems; some just don't know what theirs is yet,General,Neutral,Reflective,General,Daily Motivation,62,4.7,We cannot solve the problems of others if we don't know the ‘real' person; Don't believe everything you read but don't mock just about everything either; If someone gives you something precious of theirs make sure you know their reasons,"Fools because of their transgression, and because of their iniquities, are afflicted.",Psalms 107:17
Hilarity and humour is dehumanizing if done to excess,General,Neutral,Reflective,General,Anytime Wisdom,53,4.0,Overanalysing is dehumanizing to most; Cheating with humour may be ethical; Thinking of profanity can be dehumanizing,But shun profane and vain babblings: for they will increase unto more ungodliness.,II Timothy 2:16
Never expect anything from your parents but love,Love,Neutral,Advisory,Relationships,Anytime Wisdom,48,3.6,Respect your elders and love thy parents no matter what as these are traits of nobility; Grow to love your identity; A great degree of negligence by parents is rational if strong seeds have been first planted,"Children, obey your parents in all things: for this is well pleasing unto the Lord.",Colossians 3:20
"Celibacy does not entirely define a virgin completely, inclusion of the heart does",General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Good advertising does not sell everything if the product does not live up to expectations; Arational is he that does not think ahead; How daft does someone have to be to live without purpose?,"There is difference also between a wife and a virgin. The unmarried woman careth for the things of the Lord, that she may be holy both in body and in spirit: but she that is married careth for the things of the world, how she may please her husband.",I Corinthians 7:34
All people are born leaders; you just have to know your leadership style,General,Neutral,Reflective,Human Nature,Daily Motivation,72,5.4,Servant leadership is amongst the noblest leadership styles; Every genuine artist has his/her own style; Everyone has problems; some just don't know what theirs is yet,For the leaders of this people cause them to err; and they that are led of them are destroyed.,Isaiah 9:16
Comparing yourself to others is wrong but we all do it at one point,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,A side is always in the wrong if one has to utilize spies; In making a passive point sometimes it is good to go straight to the extremes; If anything can go wrong rest assured it shall not always or ever be so,"For we dare not make ourselves of the number, or compare ourselves with some that commend themselves: but they measuring themselves by themselves, and comparing themselves among themselves, are not wise.",II Corinthians 10:12
"In the face of two dire unacceptable options, try to think of another way",General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,"If you think your experience is unique, think again, you are only human; Embrace A.I. - think!; In the face of hysteria its best to keep stern","For my thoughts are not your thoughts, neither are your ways my ways, saith the Lord.",Isaiah 55:8
Getting absolutely drunk is an experience that is not often repeated with wisdom,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,80,6.0,"If asked to do something foolish while drunk, please think things utterly through first; Good timing means absolutely everything when seeking perfection; Once a lesson is learnt it is not always warranted a mistake shall not be repeated","And be not drunk with wine, wherein is excess; but be filled with the Spirit;",Ephesians 5:18
Great nations are inspired by beauty in whatever country,General,Neutral,Reflective,General,Anytime Wisdom,56,4.2,The simplest of minerals can show great beauty when sculpted right; Thinking long term all nations ought be potentially united; Nations that unite rapidly certainly have a common nobler cause,And they shall bring the glory and honour of the nations into it.,Revelation of John 21:26
Mental conditioning is best done by oneself with reason,General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,Mental conditioning is a process best started young; Learn what reason is; Being honest to oneself does clarify,"But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.",Philemon 1:14
Treating someone with no dignity in respect can make them ponder,General,Neutral,Reflective,General,Anytime Wisdom,64,4.8,"Treating others with respect not always gives you respect so learn to be emotive; Cling to your dignity otherwise you shall become generic; Respect education, but remember also to respect hard labour",To have respect of persons is not good: for for a piece of bread that man will transgress.,Proverbs 28:21
Trivialities in life can make great conversation pieces,General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,Too much education may make you blind to life itself; Wicked are wars that see human beings as chess pieces; If bored try to make it an objective to make someone happy and see how that feels,"How long, ye simple ones, will ye love simplicity? and the scorners delight in their scorning, and fools hate knowledge?",Proverbs 1:22
